idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;09/01/2025;400000.00;Maison;106;93290;6;139;AV;ROGER SALENGRO;TREMBLAY-EN-FRANCE
000001;06/01/2025;306000.00;Appartement;50;93260;3;71;RUE;DE ROMAINVILLE;LES LILAS
000001;09/01/2025;155000.00;Maison;76;93240;5;49;RUE;SABRAN DE PONTEVES;STAINS
000001;15/01/2025;305000.00;Maison;70;93700;3;8;RUE;LEGOFF;DRANCY
000001;15/01/2025;190000.00;Maison;90;93290;4;51;RTE;DE ROISSY;TREMBLAY-EN-FRANCE
000001;17/01/2025;225000.00;Appartement;55;93200;3;19;RUE;DE LA BARBACANE;SAINT-DENIS
000001;06/01/2025;292000.00;Appartement;71;93220;3;38;RUE;DU CHEMIN DE FER;GAGNY
000001;08/01/2025;210000.00;Maison;62;93360;2;4;CITE;DU VERGER;NEUILLY-PLAISANCE
000001;08/01/2025;362300.00;Appartement;66;93260;4;18;RUE;JULES DAVID;LES LILAS
000001;17/01/2025;295000.00;Maison;35;93400;2;62;AV;GABRIEL PERI;SAINT-OUEN-SUR-SEINE
000001;23/01/2025;162000.00;Appartement;48;93100;2;152;RUE;LENAIN DE TILLEMONT;MONTREUIL
000001;21/01/2025;230000.00;Appartement;50;93360;2;29;AV;GEORGES CLEMENCEAU;NEUILLY-PLAISANCE
000001;22/01/2025;170000.00;Appartement;67;93330;4;1;ALL;DU VAL DE MARNE;NEUILLY-SUR-MARNE
000001;07/01/2025;266500.00;Maison;53;93370;2;4;RUE;DU DOCTEUR ROUX;MONTFERMEIL
000001;22/01/2025;115000.00;Appartement;30;93300;2;116;RUE;HENRI BARBUSSE;AUBERVILLIERS
000001;15/01/2025;170000.00;Maison;55;93140;3;37;ALL;MARCEL SEMBAT;BONDY
000001;16/01/2025;128400.00;Appartement;28;93360;1;48;RUE;PASTEUR;NEUILLY-PLAISANCE
000001;16/01/2025;207000.00;Appartement;46;93360;2;30;AV;CARNOT;NEUILLY-PLAISANCE
000001;13/01/2025;245000.00;Appartement;57;93100;3;51;RUE;LENAIN DE TILLEMONT;MONTREUIL
000001;21/01/2025;165300.00;Appartement;86;93420;2;39;RUE;DE L EGLISE;VILLEPINTE
000001;14/01/2025;375000.00;Maison;198;93340;8;5;ALL;DE VILLEMOMBLE;LE RAINCY
000001;23/01/2025;264000.00;Appartement;72;93500;2;34;RUE;SCANDICCI;PANTIN
000001;17/01/2025;910000.00;Maison;136;93260;5;7;PAS;DES SABLONS;LES LILAS
000001;17/01/2025;180000.00;Appartement;38;93300;2;62;AV;DU PDT ROOSEVELT;AUBERVILLIERS
000001;20/01/2025;803000.00;Appartement;34;93400;2;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;25;93400;1;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;45;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;44;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;44;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;45;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;18;93400;1;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;17;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;18;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;18;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;17;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;18;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;18;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;17;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;52;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;52;93400;3;94;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;20;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;24;93400;2;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;16;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;17;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;16;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;23;93400;2;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;20/01/2025;803000.00;Appartement;14;93400;1;92;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
